Code Class,Name,Accession,Normal 1,Normal 2,Tumor 1,Tumor 2
Endogenous1,mmu-miR-876-3p|0,MIMAT0004855,26,28,75,26
Endogenous1,mmu-miR-684|0,MIMAT0003462,9,10,11,8
Endogenous1,mmu-miR-676|0,MIMAT0003782,19,16,68,26
Endogenous1,mmu-miR-493|0,MIMAT0004888,8,8,14,6
Endogenous1,mmu-miR-871|0,MIMAT0004841,10,12,27,7
Endogenous1,mmu-miR-695|0,MIMAT0003481,9,5,14,5
Endogenous1,mmu-miR-1963|0,MIMAT0009436,12,10,27,6
Endogenous1,mmu-miR-205|0,MIMAT0000238,131,94,138,86
Endogenous1,mmu-miR-1944|0,MIMAT0009409,562,370,4215,2298
Endogenous1,mmu-miR-290-3p|0,MIMAT0004572,10,11,16,9
Endogenous1,mmu-miR-133a|0,MIMAT0000145,14,12,110,5
Endogenous1,mmu-miR-216a|0,MIMAT0000662,11,5,17,5
Endogenous1,mmu-miR-542-5p|0,MIMAT0003171,6,10,14,6
Endogenous1,mmu-miR-181c|0,MIMAT0000674,23,24,88,17
Endogenous1,mmu-miR-574-5p|0,MIMAT0004893,14,13,40,10
Endogenous1,mmu-miR-185|0,MIMAT0000214,19,22,62,29
Endogenous1,mmu-miR-335-5p|0,MIMAT0000766,19,12,41,12
Endogenous1,mmu-miR-3473|0,MIMAT0015645,10,10,13,5
Endogenous1,mmu-miR-374|0,MIMAT0003727,57,39,297,110
Endogenous1,mmu-miR-670|0,MIMAT0003736,12,7,13,4
Endogenous1,mmu-miR-34a|0,MIMAT0000542,24,17,201,82
Endogenous1,mmu-miR-1893|0,MIMAT0007879,33,22,33,5
Endogenous1,mmu-miR-301a|0,MIMAT0000379,22,22,156,40
Endogenous1,mmu-miR-337-5p|0,MIMAT0004644,8,9,12,9
Endogenous1,mmu-miR-1904|0,MIMAT0007874,12,14,15,6
Endogenous1,mmu-let-7g|0,MIMAT0000121,1191,1093,5250,2374
Endogenous1,mmu-miR-717|0,MIMAT0003510,11,9,13,9
Endogenous1,mmu-miR-551b|0,MIMAT0003890,12,13,11,8
Endogenous1,mmu-miR-1962|0,MIMAT0009435,12,9,24,8
Endogenous1,mmu-miR-742|0,MIMAT0004237,9,11,18,23
Endogenous1,mmu-miR-2146|0,MIMAT0011222,17,12,34,16
Endogenous1,mmu-miR-28|0,MIMAT0000653,39,49,210,128
Endogenous1,mmu-miR-1196|0,MIMAT0005857,8,12,42,16
Endogenous1,mmu-miR-187|0,MIMAT0000216,7,11,9,3
Endogenous1,mmu-miR-384-3p|0,MIMAT0001076,6,2,9,1
Endogenous1,mmu-miR-669j|0,MIMAT0005838,18,16,19,15
Endogenous1,mmu-miR-338-5p|0,MIMAT0004647,15,9,20,14
Endogenous1,mmu-miR-146b|0,MIMAT0003475,21,10,58,13
Endogenous1,mmu-miR-501-5p|0,MIMAT0003508,13,10,28,10
Endogenous1,mmu-miR-872|0,MIMAT0004934,17,15,77,25
Endogenous1,mmu-miR-105|0,MIMAT0004856,6,15,15,7
Endogenous1,mmu-miR-204|0,MIMAT0000237,11,12,17,7
Endogenous1,mmu-miR-1190|0,MIMAT0005847,10,12,14,2
Endogenous1,mmu-miR-132|0,MIMAT0000144,16,19,186,69
Endogenous1,mmu-miR-2861|0,MIMAT0013803,6,7,12,5
Endogenous1,mmu-miR-762|0,MIMAT0003892,83,102,82,21
Endogenous1,mmu-miR-1966|0,MIMAT0009439,7,11,14,2
Endogenous1,mmu-miR-1197|0,MIMAT0005858,10,9,13,3
Endogenous1,mmu-miR-1945|0,MIMAT0009410,8,7,6,11
Endogenous1,mmu-miR-590-5p|0,MIMAT0004895,12,9,5,1
Endogenous1,mmu-miR-34b-3p|0,MIMAT0004581,10,14,16,6
Endogenous1,mmu-miR-155|0,MIMAT0000165,281,349,514,331
Endogenous1,mmu-miR-370|0,MIMAT0001095,11,6,12,3
Endogenous1,mmu-miR-290-5p|0,MIMAT0000366,10,5,16,5
Endogenous1,mmu-miR-133b|0,MIMAT0000769,13,5,13,11
Endogenous1,mmu-miR-485|0,MIMAT0003128,7,12,16,5
Endogenous1,mmu-miR-466d-5p|0,MIMAT0004930,8,13,18,11
